total_area,mean_deltaT,morris_row_index,identifier,Class
6303.759798473862,0.855061746979342,16,24,T
3.954811680021002,3.403116170058478,160,19,NT
0,0,160,20,T
502.4762812830518,3.113921535683895,160,21,T
0,0,160,22,T
4766.603258593247,3.6191510649520633,160,23,T
0,0,160,24,T
3.610906978108805,3.324368967286322,161,19,NT
0,0,161,20,T
509.2948797745935,3.238561924834819,161,21,T
0,0,161,22,T
3550.3264651075465,4.169402069693973,161,23,T
0,0,161,24,T
3.954811680033849,3.403116170058478,162,19,NT
0,0,162,20,T
3879.851740860649,3.7631288868541186,162,21,T
0,0,162,22,T
0,0,162,23,T
0,0,162,24,T
3.954811680033849,3.403116170058478,163,19,NT
0,0,163,20,T
3879.851740860649,3.7631288868541186,163,21,T
0,0,163,22,T
0,0,163,23,T
0,0,163,24,T
19.899074405544173,2.1123985642591085,164,19,NT
0,0,164,20,T
6423.377863696369,3.339159961364226,164,21,T
0,0,164,22,T
600.3008416316791,1.9297326974194389,164,23,T
0,0,164,24,T
9.713599142817822,2.559384059602094,165,19,NT
0,0,165,20,T
6683.879169631756,3.491602794973333,165,21,T
1906.9746100335585,1.639322980917402,165,22,T
5504.842100566944,3.403486497091937,165,23,T
0,0,165,24,T
30.944865578415406,1.9832458038216563,166,19,NT
0,0,166,20,T
2262.9839762062675,1.751079280001664,166,21,T
0,0,166,22,T
578.0006223759494,1.8347760651893767,166,23,T
0,0,166,24,T
4.21269402694201,3.494603640534567,167,19,NT
0,0,167,20,T
539.6618977409107,5.513497758244851,167,21,T
0,0,167,22,T
0,0,167,23,T
0,0,167,24,T
4.21269402694201,3.494603640534567,168,19,NT
0,0,168,20,T
539.6618977409107,5.513497758244851,168,21,T
0,0,168,22,T
0,0,168,23,T
0,0,168,24,T
130.26163601423968,1.1392776769569,169,19,NT
88.22422753613704,1.1563077035192997,169,20,T
7032.585874695157,3.223455928708202,169,21,T
2863.4492847547226,1.1542116664467337,169,22,T
672.0937841096811,1.9151270545763883,169,23,T
0,0,169,24,T
6.060188956385147,3.024119567885691,17,19,NT
0,0,17,20,T
6008.315846531945,3.610354726029407,17,21,T
0,0,17,22,T
5361.0877761735765,3.4075390019313256,17,23,T
0,0,17,24,T
82.30540153504151,1.2282349515343158,170,19,NT
81.78003194711394,1.1568048128086355,170,20,T
3620.041741726914,1.8503525483020786,170,21,T
0,0,170,22,T
3850.6412751191524,4.13592533213582,170,23,T
3595.7997818361932,1.1168171410146133,170,24,T
5.114866630960528,3.230073543628688,171,19,NT
0,0,171,20,T
860.3610500449398,3.04386894921678,171,21,T
0,0,171,22,T
3722.3124899551813,4.151321573566729,171,23,T
0,0,171,24,T
5.114866630960528,3.230073543628688,172,19,NT
0,0,172,20,T
860.3610500449398,3.04386894921678,172,21,T
0,0,172,22,T
3722.3124899551813,4.151321573566729,172,23,T
0,0,172,24,T
9.713599142817822,2.559384059602094,173,19,NT
0,0,173,20,T
6683.879169631756,3.491602794973333,173,21,T
1906.9746100335585,1.639322980917402,173,22,T
5504.842100566944,3.403486497091937,173,23,T
0,0,173,24,T
9.713599142817822,2.559384059602094,174,19,NT
0,0,174,20,T
