total_area,morris_row_index,identifier,Class
1002.2426280097474,178,15,NT
689.7741793129886,178,16,NT
132.45200603525174,178,17,NT
0,179,13,NT
301.1361311687756,179,14,T
269.7499678195488,179,15,NT
0,179,16,NT
38.6004081897362,179,17,NT
0,18,13,NT
1503.5636120050003,18,14,T
2108.363937992854,18,15,NT
2032.2858933847908,18,16,NT
225.18091989304912,18,17,NT
0,180,13,NT
295.0904744799014,180,14,T
308.5497800205526,180,15,NT
0,180,16,NT
38.6004081897362,180,17,NT
0,181,13,NT
687.4978777678015,181,14,T
444.3464050909173,181,15,NT
0,181,16,NT
69.39933757939885,181,17,NT
0,182,13,NT
1503.5636120050003,182,14,T
2108.363937992854,182,15,NT
2032.2858933847908,182,16,NT
225.18091989304912,182,17,NT
0,183,13,NT
1503.5636120050003,183,14,T
2108.363937992854,183,15,NT
2032.2858933847908,183,16,NT
225.18091989304912,183,17,NT
0,184,13,NT
1862.3448805913283,184,14,T
1941.60740095228,184,15,NT
2032.2858933847733,184,16,NT
185.88149356895008,184,17,NT
0,185,13,NT
702.708016066737,185,14,T
410.68482920438,185,15,NT
0,185,16,NT
60.32122928169248,185,17,NT
0,186,13,NT
687.4978777678015,186,14,T
444.3464050909173,186,15,NT
0,186,16,NT
69.39933757939885,186,17,NT
0,187,13,NT
687.4978777678015,187,14,T
444.3464050909173,187,15,NT
0,187,16,NT
69.39933757939885,187,17,NT
0,188,13,NT
1503.5636120050003,188,14,T
2108.363937992854,188,15,NT
2032.2858933847908,188,16,NT
225.18091989304912,188,17,NT
0,189,13,NT
1235.4412508921605,189,14,T
620.1018942173284,189,15,NT
0,189,16,NT
87.97182508981842,189,17,NT
0,19,13,NT
1503.5636120050003,19,14,T
2108.363937992854,19,15,NT
2032.2858933847908,19,16,NT
225.18091989304912,19,17,NT
0,190,13,NT
1038.7847574965606,190,14,T
678.797260548138,190,15,NT
0,190,16,NT
87.97182508592118,190,17,NT
0,191,13,NT
218.0677484123972,191,14,T
223.2000155404425,191,15,NT
0,191,16,NT
12.438586645951778,191,17,NT
0,192,13,NT
218.0677484123972,192,14,T
223.2000155404425,192,15,NT
0,192,16,NT
12.438586645951778,192,17,NT
0,193,13,NT
1038.7847574969874,193,14,T
678.797260548138,193,15,NT
0,193,16,NT
96.0150477145724,193,17,NT
0,194,13,NT
1235.4412508921605,194,14,T
620.1018942173284,194,15,NT
0,194,16,NT
87.97182508981842,194,17,NT
0,195,13,NT
1235.4412508921605,195,14,T
620.1018942173284,195,15,NT
0,195,16,NT
87.97182508981842,195,17,NT
0,196,13,NT
203.92752972421374,196,14,T
193.39541399873727,196,15,NT
0,196,16,NT
12.438586645951778,196,17,NT
0,197,13,NT
1151.0232671338968,197,14,T
1032.5829469671446,197,15,NT
357.22823781839384,197,16,NT
132.45200603525174,197,17,NT
0,198,13,NT
1151.0232671338968,198,14,T
1032.5829469671446,198,15,NT
357.22823781839384,198,16,NT
132.45200603525174,198,17,NT
0,199,13,NT
630.3767659721387,199,14,T
