total_area,total_averaged_temperature,morris_row_index,location
5575.470648651888,19.647262573242188,46,limpbach
5415.305365399561,16.416750617418145,46,grundbach
249.59991014065736,18.249923867831665,46,hasle
1101.492787373973,20.127795576843962,46,emmepark
684.6820667712211,17.784666061401367,47,limpbach
4568.717401208703,16.530666929009882,47,grundbach
249.59991014266103,18.24992386783862,47,hasle
1140.5117458324296,20.185664302836255,47,emmepark
684.6820667712211,17.784666061401367,48,limpbach
4568.717401208703,16.530666929009882,48,grundbach
249.59991014266103,18.24992386783862,48,hasle
1140.5117458324296,20.185664302836255,48,emmepark
672.0937841096811,17.76752281188965,49,limpbach
7032.585874695157,16.830186712785085,49,grundbach
249.59991014065736,18.249923867831665,49,hasle
1330.0784019040166,20.442045056699587,49,emmepark
5559.146718313266,19.639619827270508,5,limpbach
7250.119787609978,16.893737336248037,5,grundbach
249.59991014024027,18.249923867831416,5,hasle
1260.2193453868604,20.380877437275114,5,emmepark
672.0937841096811,17.76752281188965,50,limpbach
7032.585874695157,16.830186712785085,50,grundbach
249.59991014065736,18.249923867831665,50,hasle
1330.0784019040166,20.442045056699587,50,emmepark
3850.641275178133,19.678470611572266,51,limpbach
3121.0175989677946,16.729637016612216,51,grundbach
249.59991014345132,18.249923867839698,51,hasle
1250.075999438322,20.338798108513252,51,emmepark
5559.146718313266,19.639619827270508,52,limpbach
7250.119787609978,16.893737336248037,52,grundbach
249.59991014024027,18.249923867831416,52,hasle
1260.2193453868604,20.380877437275114,52,emmepark
658.2155355012912,17.749969482421875,53,limpbach
3075.11889653947,16.073237880461928,53,grundbach
249.59991014224394,18.249923867838376,53,hasle
1359.0827280063402,20.48800350567752,53,emmepark
672.0937841103427,17.76752281188965,54,limpbach
2912.8684718838745,16.04998338785827,54,grundbach
249.59991014190433,18.24992386783302,54,hasle
1359.0827280061353,20.488003505677458,54,emmepark
672.0937841103427,17.76752281188965,55,limpbach
2912.8684718838745,16.04998338785827,55,grundbach
249.59991014190433,18.24992386783302,55,hasle
1359.0827280061353,20.488003505677458,55,emmepark
658.2155355012912,17.749969482421875,56,limpbach
3075.11889653947,16.073237880461928,56,grundbach
249.59991014224394,18.249923867838376,56,hasle
1359.0827280063402,20.48800350567752,56,emmepark
5559.146718313266,19.639619827270508,57,limpbach
7250.119787609978,16.893737336248037,57,grundbach
249.59991014024027,18.249923867831416,57,hasle
1260.2193453868604,20.380877437275114,57,emmepark
672.0937841096811,17.76752281188965,58,limpbach
7032.585874695157,16.830186712785085,58,grundbach
249.59991014065736,18.249923867831665,58,hasle
1330.0784019040166,20.442045056699587,58,emmepark
672.0937841096811,17.76752281188965,59,limpbach
7032.585874695157,16.830186712785085,59,grundbach
249.59991014065736,18.249923867831665,59,hasle
1330.0784019040166,20.442045056699587,59,emmepark
5559.146718344169,19.639619827270508,6,limpbach
7250.1197876127135,16.89373733624834,6,grundbach
249.59991014283565,18.249923867838728,6,hasle
1251.4570727203743,20.377251751363744,6,emmepark
3850.641275178133,19.678470611572266,60,limpbach
3121.0175989677946,16.729637016612216,60,grundbach
249.59991014345132,18.249923867839698,60,hasle
1250.075999438322,20.338798108513252,60,emmepark
5559.146718344169,19.639619827270508,61,limpbach
7250.1197876127135,16.89373733624834,61,grundbach
249.59991014283565,18.249923867838728,61,hasle
1251.4570727203743,20.377251751363744,61,emmepark
672.0937841096811,17.76752281188965,62,limpbach
2912.868471876387,16.04998338785768,62,grundbach
249.59991014065736,18.249923867831665,62,hasle
1359.0827280061353,20.488003505677458,62,emmepark
672.0937841103427,17.76752281188965,63,limpbach
3075.1188965393885,16.073237880461928,63,grundbach
249.59991014376698,18.249923867839886,63,hasle
1359.0827279989187,20.488003505669443,63,emmepark
3850.641275178133,19.678470611572266,64,limpbach
3121.0175989677946,16.729637016612216,64,grundbach
249.59991014345132,18.249923867839698,64,hasle
1250.075999438322,20.338798108513252,64,emmepark
672.0937841096811,17.76752281188965,65,limpbach
7032.585874695157,16.830186712785085,65,grundbach
249.59991014065736,18.249923867831665,65,hasle
1330.0784019040166,20.442045056699587,65,emmepark
672.0937841096811,17.76752281188965,66,limpbach
7032.585874695157,16.830186712785085,66,grundbach
249.59991014065736,18.249923867831665,66,hasle
1330.0784019040166,20.442045056699587,66,emmepark
