"x","y","flag"
2609674.24937654,1225783.75237007,1
2609674.45665654,1225783.75237007,1
2609674.04209654,1225783.54509007,1
2609674.24937654,1225783.54509007,1
2609674.45665654,1225783.54509007,1
2609674.04209654,1225783.33781007,1
2609674.24937654,1225783.33781007,1
2609674.45665654,1225783.33781007,1
2609674.04209654,1225783.13053007,1
2609674.24937654,1225783.13053007,1
2609674.45665654,1225783.13053007,1
2609673.83481654,1225782.92325007,1
2609674.04209654,1225782.92325007,1
2609674.24937654,1225782.92325007,1
2609674.45665654,1225782.92325007,1
2609674.66393654,1225782.92325007,1
2609673.62753654,1225782.71597007,1
2609673.83481654,1225782.71597007,1
2609674.04209654,1225782.71597007,1
2609674.24937654,1225782.71597007,1
2609674.45665654,1225782.71597007,1
2609674.66393654,1225782.71597007,1
2609674.87121654,1225782.71597007,1
2609673.42025654,1225782.50869007,1
2609673.62753654,1225782.50869007,1
2609673.83481654,1225782.50869007,1
2609674.04209654,1225782.50869007,1
2609674.24937654,1225782.50869007,1
2609674.45665654,1225782.50869007,1
2609674.66393654,1225782.50869007,1
2609673.42025654,1225782.30141007,1
2609673.62753654,1225782.30141007,1
2609673.83481654,1225782.30141007,1
2609674.04209654,1225782.30141007,1
2609674.24937654,1225782.30141007,1
2609674.45665654,1225782.30141007,1
2609674.66393654,1225782.30141007,1
2609674.87121654,1225782.30141007,1
2609673.21297654,1225782.09413007,1
2609673.42025654,1225782.09413007,1
2609673.62753654,1225782.09413007,1
2609673.83481654,1225782.09413007,1
2609674.04209654,1225782.09413007,1
2609674.24937654,1225782.09413007,1
2609674.45665654,1225782.09413007,1
2609674.66393654,1225782.09413007,1
2609674.87121654,1225782.09413007,1
2609673.21297654,1225781.88685007,1
2609673.42025654,1225781.88685007,1
2609673.62753654,1225781.88685007,1
2609673.83481654,1225781.88685007,1
2609674.04209654,1225781.88685007,1
2609674.24937654,1225781.88685007,1
2609674.45665654,1225781.88685007,1
2609674.66393654,1225781.88685007,1
2609674.87121654,1225781.88685007,1
2609673.00569654,1225781.67957007,1
2609673.21297654,1225781.67957007,1
2609673.42025654,1225781.67957007,1
2609673.62753654,1225781.67957007,1
2609673.83481654,1225781.67957007,1
2609674.04209654,1225781.67957007,1
2609674.24937654,1225781.67957007,1
2609674.45665654,1225781.67957007,1
2609674.66393654,1225781.67957007,1
2609672.79841654,1225781.47229007,1
2609673.00569654,1225781.47229007,1
2609673.21297654,1225781.47229007,1
2609673.42025654,1225781.47229007,1
2609673.62753654,1225781.47229007,1
2609673.83481654,1225781.47229007,1
2609674.04209654,1225781.47229007,1
2609674.24937654,1225781.47229007,1
2609674.45665654,1225781.47229007,1
2609674.66393654,1225781.47229007,1
2609672.79841654,1225781.26501007,1
2609673.00569654,1225781.26501007,1
2609673.21297654,1225781.26501007,1
2609673.42025654,1225781.26501007,1
2609673.62753654,1225781.26501007,1
2609673.83481654,1225781.26501007,1
2609674.04209654,1225781.26501007,1
2609674.24937654,1225781.26501007,1
2609674.45665654,1225781.26501007,1
2609672.59113654,1225781.05773007,1
2609672.79841654,1225781.05773007,1
2609673.00569654,1225781.05773007,1
2609673.21297654,1225781.05773007,1
2609673.42025654,1225781.05773007,1
2609673.62753654,1225781.05773007,1
2609673.83481654,1225781.05773007,1
2609674.04209654,1225781.05773007,1
2609674.24937654,1225781.05773007,1
2609672.59113654,1225780.85045007,1
2609672.79841654,1225780.85045007,1
2609673.00569654,1225780.85045007,1
2609673.21297654,1225780.85045007,1
2609673.42025654,1225780.85045007,1
2609673.62753654,1225780.85045007,1
2609673.83481654,1225780.85045007,1
2609674.04209654,1225780.85045007,1
2609674.24937654,1225780.85045007,1
2609672.38385654,1225780.64317007,1
2609672.59113654,1225780.64317007,1
2609672.79841654,1225780.64317007,1
2609673.00569654,1225780.64317007,1
2609673.21297654,1225780.64317007,1
2609673.42025654,1225780.64317007,1
2609673.62753654,1225780.64317007,1
2609673.83481654,1225780.64317007,1
2609674.04209654,1225780.64317007,1
2609672.17657654,1225780.43589007,1
2609672.38385654,1225780.43589007,1
2609672.59113654,1225780.43589007,1
2609672.79841654,1225780.43589007,1
2609673.00569654,1225780.43589007,1
2609673.21297654,1225780.43589007,1
2609673.42025654,1225780.43589007,1
2609673.62753654,1225780.43589007,1
2609673.83481654,1225780.43589007,1
2609671.96929654,1225780.22861007,1
2609672.17657654,1225780.22861007,1
2609672.38385654,1225780.22861007,1
2609672.59113654,1225780.22861007,1
2609672.79841654,1225780.22861007,1
2609673.00569654,1225780.22861007,1
2609673.21297654,1225780.22861007,1
2609671.96929654,1225780.02133007,1
2609672.17657654,1225780.02133007,1
2609672.38385654,1225780.02133007,1
2609672.59113654,1225780.02133007,1
2609672.79841654,1225780.02133007,1
2609673.00569654,1225780.02133007,1
2609671.76201654,1225779.81405007,1
2609671.96929654,1225779.81405007,1
2609672.17657654,1225779.81405007,1
2609672.38385654,1225779.81405007,1
2609672.59113654,1225779.81405007,1
2609671.96929654,1225779.60677007,1
2609672.17657654,1225779.60677007,1
2609672.38385654,1225779.60677007,1
2609672.59113654,1225779.60677007,1
2609672.38385654,1225779.39949007,1
2609669.27465654,1225775.46117007,1
2609668.65281654,1225775.25389007,1
2609668.86009654,1225775.25389007,1
2609669.06737654,1225775.25389007,1
2609669.27465654,1225775.25389007,1
2609668.65281654,1225775.04661007,1
2609668.86009654,1225775.04661007,1
2609669.06737654,1225775.04661007,1
2609668.44553654,1225774.83933007,1
2609668.65281654,1225774.83933007,1
2609668.86009654,1225774.83933007,1
2609669.06737654,1225774.83933007,1
2609668.23825654,1225774.63205007,1
2609668.44553654,1225774.63205007,1
2609668.65281654,1225774.63205007,1
2609668.86009654,1225774.63205007,1
2609668.03097655,1225774.42477007,1
2609668.23825654,1225774.42477007,1
2609668.44553654,1225774.42477007,1
2609668.65281654,1225774.42477007,1
2609667.82369655,1225774.21749007,1
2609668.03097655,1225774.21749007,1
2609668.23825654,1225774.21749007,1
2609668.44553654,1225774.21749007,1
2609667.82369655,1225774.01021007,1
2609668.03097655,1225774.01021007,1
2609668.23825654,1225774.01021007,1
2609667.61641655,1225773.80293007,1
2609667.82369655,1225773.80293007,1
2609668.03097655,1225773.80293007,1
2609667.40913655,1225773.59565007,1
2609667.61641655,1225773.59565007,1
2609667.82369655,1225773.59565007,1
2609667.20185655,1225773.38837007,1
2609667.40913655,1225773.38837007,1
2609667.61641655,1225773.38837007,1
2609667.20185655,1225773.18109007,1
2609667.40913655,1225773.18109007,1
2609666.99457655,1225772.97381007,1
2609667.20185655,1225772.97381007,1
2609667.40913655,1225772.97381007,1
2609666.78729655,1225772.76653007,1
2609666.99457655,1225772.76653007,1
2609667.20185655,1225772.76653007,1
2609666.58001655,1225772.55925007,1
2609666.78729655,1225772.55925007,1
2609666.99457655,1225772.55925007,1
2609666.37273655,1225772.35197007,1
2609666.58001655,1225772.35197007,1
2609666.78729655,1225772.35197007,1
2609666.99457655,1225772.35197007,1
2609666.16545655,1225772.14469007,1
2609666.37273655,1225772.14469007,1
2609666.58001655,1225772.14469007,1
2609666.78729655,1225772.14469007,1
2609666.16545655,1225771.93741007,1
2609666.37273655,1225771.93741007,1
2609666.58001655,1225771.93741007,1
2609665.95817655,1225771.73013007,1
2609666.16545655,1225771.73013007,1
2609666.37273655,1225771.73013007,1
2609665.75089655,1225771.52285007,1
2609665.95817655,1225771.52285007,1
2609666.16545655,1225771.52285007,1
2609666.37273655,1225771.52285007,1
2609665.75089655,1225771.31557007,1
2609665.95817655,1225771.31557007,1
2609666.16545655,1225771.31557007,1
2609666.37273655,1225771.31557007,1
2609665.95817655,1225771.10829007,1
2609666.16545655,1225771.10829007,1
2609666.37273655,1225771.10829007,1
2609639.63361658,1225770.90101007,1
2609665.75089655,1225770.90101007,1
2609665.95817655,1225770.90101007,1
2609666.16545655,1225770.90101007,1
2609639.21905658,1225770.69373007,1
2609639.42633658,1225770.69373007,1
2609639.63361658,1225770.69373007,1
2609639.84089658,1225770.69373007,1
2609665.75089655,1225770.69373007,1
2609665.95817655,1225770.69373007,1
2609666.16545655,1225770.69373007,1
2609639.42633658,1225770.48645007,1
2609639.63361658,1225770.48645007,1
2609665.75089655,1225770.48645007,1
2609665.95817655,1225770.48645007,1
2609665.75089655,1225770.27917007,1
2609663.47081655,1225767.16997007,1
2609663.67809655,1225767.16997007,1
2609663.26353655,1225766.96269007,1
2609663.47081655,1225766.96269007,1
2609662.84897655,1225766.75541007,1
2609663.05625655,1225766.75541007,1
2609663.26353655,1225766.75541007,1
2609662.43441655,1225766.54813007,1
2609662.64169655,1225766.54813007,1
2609662.84897655,1225766.54813007,1
2609663.05625655,1225766.54813007,1
2609663.26353655,1225766.54813007,1
2609662.01985655,1225766.34085007,1
2609662.22713655,1225766.34085007,1
2609662.43441655,1225766.34085007,1
2609662.64169655,1225766.34085007,1
2609662.84897655,1225766.34085007,1
2609663.05625655,1225766.34085007,1
2609661.81257655,1225766.13357007,1
2609662.01985655,1225766.13357007,1
2609662.22713655,1225766.13357007,1
2609662.43441655,1225766.13357007,1
2609662.64169655,1225766.13357007,1
2609662.84897655,1225766.13357007,1
2609661.39801655,1225765.92629007,1
2609661.60529655,1225765.92629007,1
2609661.81257655,1225765.92629007,1
2609662.01985655,1225765.92629007,1
