total_area,total_averaged_temperature,morris_row_index,identifier,Class
684.6820667712211,17.784666061401367,33,22,T
810.7568498193596,19.585285186767578,33,23,T
130.26163601423968,18.77805419725851,34,18,NT
88.22422753613704,20.55235240274087,34,19,T
2863.4492847547226,20.24560176548851,34,20,T
2863.4492847547226,20.24560176548851,34,21,T
672.0937841096811,17.76752281188965,34,22,T
130.26163601423968,18.77805419725851,35,18,NT
88.22422753613704,20.55235240274087,35,19,T
2863.4492847547226,20.24560176548851,35,20,T
2863.4492847547226,20.24560176548851,35,21,T
672.0937841096811,17.76752281188965,35,22,T
82.30540153504151,18.59246507760089,36,18,NT
81.78003194711394,20.550640106591246,36,19,T
3850.6412751191524,19.678470611572266,36,22,T
3595.7997818361932,19.68468817325307,36,23,T
252.56551126915326,18.98034015318042,37,18,NT
70.39301430261965,20.543453653594433,37,19,T
1039.5332944744405,20.768963686078727,37,20,T
1039.5332944744405,20.768963686078727,37,21,T
672.0937841103427,17.76752281188965,37,22,T
252.56551127088602,18.980340153180443,38,18,NT
70.39301430189278,20.54345365359312,38,19,T
1039.5332944763852,20.76896368607997,38,20,T
1039.5332944763852,20.76896368607997,38,21,T
658.2155355011722,17.749969482421875,38,22,T
810.7568498423061,19.585285186767578,38,23,T
57.724342850844835,18.453610468956125,39,18,NT
88.22422753613704,20.55235240274087,39,19,T
3637.9984287115262,20.48251724243164,39,20,T
3637.9984287115262,20.48251724243164,39,21,T
5559.146718313266,19.639619827270508,39,22,T
252.56551127088602,18.980340153180443,4,18,NT
70.39301430189278,20.54345365359312,4,19,T
1039.5332944763852,20.76896368607997,4,20,T
1039.5332944763852,20.76896368607997,4,21,T
658.2155355011722,17.749969482421875,4,22,T
810.7568498423061,19.585285186767578,4,23,T
82.30540153504151,18.59246507760089,40,18,NT
81.78003194711394,20.550640106591246,40,19,T
3850.641275178133,19.678470611572266,40,22,T
3595.7997818353815,19.68468817325307,40,23,T
130.26163601423968,18.77805419725851,41,18,NT
88.22422753613704,20.55235240274087,41,19,T
2863.4492847547226,20.24560176548851,41,20,T
2863.4492847547226,20.24560176548851,41,21,T
672.0937841096811,17.76752281188965,41,22,T
130.26163601423968,18.77805419725851,42,18,NT
88.22422753613704,20.55235240274087,42,19,T
2863.4492847547226,20.24560176548851,42,20,T
2863.4492847547226,20.24560176548851,42,21,T
672.0937841096811,17.76752281188965,42,22,T
130.26163601423968,18.77805419725851,43,18,NT
88.22422753613704,20.55235240274087,43,19,T
2863.4492847547226,20.24560176548851,43,20,T
2863.4492847547226,20.24560176548851,43,21,T
672.0937841096811,17.76752281188965,43,22,T
130.26163601423968,18.77805419725851,44,18,NT
88.22422753613704,20.55235240274087,44,19,T
2863.4492847547226,20.24560176548851,44,20,T
2863.4492847547226,20.24560176548851,44,21,T
672.0937841096811,17.76752281188965,44,22,T
82.30540153504151,18.59246507760089,45,18,NT
81.78003194711394,20.550640106591246,45,19,T
3850.641275178133,19.678470611572266,45,22,T
3595.7997818353815,19.68468817325307,45,23,T
130.26163601478683,18.77805419725853,46,18,NT
113.32252848126554,20.606662530871063,46,19,T
715.017919847216,19.5556801819595,46,20,T
715.017919847216,19.5556801819595,46,21,T
5575.470648651888,19.647262573242188,46,22,T
57.72434285070716,18.453610468957173,47,18,NT
88.22422753570066,20.552352402740414,47,19,T
684.6820667712211,17.784666061401367,47,22,T
810.7568498193596,19.585285186767578,47,23,T
57.72434285070716,18.453610468957173,48,18,NT
88.22422753570066,20.552352402740414,48,19,T
684.6820667712211,17.784666061401367,48,22,T
810.7568498193596,19.585285186767578,48,23,T
130.26163601423968,18.77805419725851,49,18,NT
88.22422753613704,20.55235240274087,49,19,T
2863.4492847547226,20.24560176548851,49,20,T
2863.4492847547226,20.24560176548851,49,21,T
672.0937841096811,17.76752281188965,49,22,T
57.724342850844835,18.453610468956125,5,18,NT
88.22422753613704,20.55235240274087,5,19,T
3637.9984287115262,20.48251724243164,5,20,T
3637.9984287115262,20.48251724243164,5,21,T
5559.146718313266,19.639619827270508,5,22,T
130.26163601423968,18.77805419725851,50,18,NT
88.22422753613704,20.55235240274087,50,19,T
2863.4492847547226,20.24560176548851,50,20,T
2863.4492847547226,20.24560176548851,50,21,T
672.0937841096811,17.76752281188965,50,22,T
82.30540153504151,18.59246507760089,51,18,NT
81.78003194711394,20.550640106591246,51,19,T
3850.641275178133,19.678470611572266,51,22,T
3595.7997818353815,19.68468817325307,51,23,T
57.724342850844835,18.453610468956125,52,18,NT
88.22422753613704,20.55235240274087,52,19,T
3637.9984287115262,20.48251724243164,52,20,T
3637.9984287115262,20.48251724243164,52,21,T
5559.146718313266,19.639619827270508,52,22,T
252.56551127072714,18.980340153180435,53,18,NT
70.39301430181982,20.543453653593247,53,19,T
1039.5332944763852,20.76896368607997,53,20,T
1039.5332944763852,20.76896368607997,53,21,T
658.2155355012912,17.749969482421875,53,22,T
810.7568498422613,19.585285186767578,53,23,T
252.56551126915326,18.98034015318042,54,18,NT
